No.,Site name,long,lat,Elev. (m),Tann,Mtco,Mtwa,GDD5,GDD0,Pann,Drought,MI,Sedtype
1,Aibi,82.805,45.005,194,8.830833333,-14.8,27.2,3134.8,4298.2,131.54,0.775,0.147,1
2,Aibi ZK00B,82.935,44.655,195,8.434166667,-14.7,26.1,2985,4145.5,138.41,0.763,0.157,1
3,Ali 1,90.625,31.965,4450,-1.605833333,-12.9,8.7,263.7,960.4,373.81,0.349,0.543,1
4,Ali 2,90.665,31.955,4585,-2.014166667,-13.2,8.2,216,887.1,383.54,0.324,0.567,1
5,Ali 3,90.625,31.965,4450,-1.605833333,-12.9,8.7,263.7,960.4,373.81,0.349,0.543,1
6,Ali 4,90.465,31.985,4520,-1.421666667,-12.6,8.9,282.6,987.6,359.38,0.375,0.518,1
7,Ali 5,90.735,31.965,4570,-1.685,-13,8.6,258.7,952.9,382.55,0.334,0.558,1
8,Angren ,87.405,29.205,4300,4.738333333,-4.2,13.1,944.7,2033.9,331.01,0.56,0.36,4
9,Aqikekule,89.005,36.675,4680,-6.340833333,-18.7,5.2,1.8,384.6,187.77,0.547,0.325,1
10,Baihe,115.855,40.875,865,6.386666667,-11.1,21.5,2138.7,3237.7,435.48,0.401,0.513,4
11,Baihua Mt 01,115.605,39.905,1980,8.506666667,-7.4,22.4,2425.9,3621.7,516.71,0.33,0.588,4
12,Baihua Mt 02,115.605,39.905,1900,8.506666667,-7.4,22.4,2425.9,3621.7,516.71,0.33,0.588,4
13,Baihua Mt 03,115.605,39.905,1900,8.506666667,-7.4,22.4,2425.9,3621.7,516.71,0.33,0.588,4
14,Baihua Mt 04,115.605,39.905,1820,8.506666667,-7.4,22.4,2425.9,3621.7,516.71,0.33,0.588,4
15,Baihua Mt 05,115.605,39.905,1720,8.506666667,-7.4,22.4,2425.9,3621.7,516.71,0.33,0.588,4
16,Baihua Mt 06,115.605,39.905,1600,8.506666667,-7.4,22.4,2425.9,3621.7,516.71,0.33,0.588,4
17,Baihua Mt 07,115.605,39.905,1500,8.506666667,-7.4,22.4,2425.9,3621.7,516.71,0.33,0.588,4
18,Baihua Mt 08,115.605,39.905,1420,8.506666667,-7.4,22.4,2425.9,3621.7,516.71,0.33,0.588,4
19,Baihua Mt 09,115.605,39.905,1400,8.506666667,-7.4,22.4,2425.9,3621.7,516.71,0.33,0.588,4
20,Baihua Mt 10,115.605,39.905,1340,8.506666667,-7.4,22.4,2425.9,3621.7,516.71,0.33,0.588,4
21,Baiyangdian 1,116.035,38.875,20,12.295,-4.6,26.5,3392,4724.7,516.31,0.387,0.538,1
22,Baiyangdian 2,116.035,38.875,20,12.295,-4.6,26.5,3392,4724.7,516.31,0.387,0.538,1
23,Baiyangdian 3,116.035,38.875,20,12.295,-4.6,26.5,3392,4724.7,516.31,0.387,0.538,1
24,Baiyangdian 4,116.035,38.875,20,12.295,-4.6,26.5,3392,4724.7,516.31,0.387,0.538,1
25,Baiyangdian 5,116.035,38.875,20,12.295,-4.6,26.5,3392,4724.7,516.31,0.387,0.538,1
26,Baiyangdian 6,116.035,38.875,20,12.295,-4.6,26.5,3392,4724.7,516.31,0.387,0.538,1
27,Bakeyao,122.205,42.925,155,6.466666667,-12.7,23.2,2339.6,3428.8,441.12,0.375,0.537,1
28,Balikun Lake,92.805,43.705,2027,2.7475,-17.3,19,1621.9,2602.3,164.11,0.705,0.204,1
31,Bao Qing 3,132.075,45.955,272,2.82,-18.4,20.5,1757.9,2740.1,564.85,0.125,0.845,4
32,Bao Qing 4-7,132.075,45.955,272,2.82,-18.4,20.5,1757.9,2740.1,564.85,0.125,0.845,4
33,Bao Qing 5-7,131.735,45.585,388,3.405,-17.7,20.7,1841.6,2842.2,548.62,0.158,0.803,4
34,Bao Qing 6-7,131.735,45.585,388,3.405,-17.7,20.7,1841.6,2842.2,548.62,0.158,0.803,4
35,Bao Qing 7,132.085,46.685,190,3.845833333,-17.9,22.4,2034.5,3045.9,540.02,0.183,0.782,4
37,Baxi 1,103.025,33.555,3500,0.466666667,-10.4,9.9,380.4,1194.1,718.54,0.021,1.118,4
38,Baxi 2,103.025,33.555,3500,0.466666667,-10.4,9.9,380.4,1194.1,718.54,0.021,1.118,4
39,Baxi 3,103.025,33.555,3500,0.466666667,-10.4,9.9,380.4,1194.1,718.54,0.021,1.118,4
40,Baxi 4,103.025,33.555,3500,0.466666667,-10.4,9.9,380.4,1194.1,718.54,0.021,1.118,4
41,Baxi 5,103.025,33.555,3500,0.466666667,-10.4,9.9,380.4,1194.1,718.54,0.021,1.118,4
42,Baxi 6,103.025,33.555,3500,0.466666667,-10.4,9.9,380.4,1194.1,718.54,0.021,1.118,4
43,Baxi 7,103.025,33.555,3500,0.466666667,-10.4,9.9,380.4,1194.1,718.54,0.021,1.118,4
44,Beikan,121.105,32.305,22,14.75416667,2.5,26.8,3692.9,5405.3,1069.79,0.017,1.11,4
45,Beilikekule,88.505,37.055,4250,-4.351666667,-17.8,7.8,139.1,707.7,154.45,0.637,0.245,1
46,Beisu Lake,120.705,45.505,322,3.730833333,-15.8,21.2,1874.6,2869.7,412.74,0.343,0.559,1
47,Bodongquan 1,93.875,35.525,4672,-5.075833333,-16.8,6,28.2,490.5,258.09,0.438,0.437,4
48,Bodongquan 2,93.875,35.525,4662,-5.075833333,-16.8,6,28.2,490.5,258.09,0.438,0.437,4
49,Budala Palace,91.255,29.675,3000,7.389166667,-1.8,15.2,1470.3,2785.7,403.94,0.497,0.425,2
50,Bunan Lake,90.835,35.955,4876,-7.058333333,-18.7,4.1,0,281.1,217.21,0.479,0.388,1
51,Caerhan,96.305,36.505,2680,5.436666667,-9.3,18.1,1629.6,2717.3,66.55,0.84,0.076,4
52,Caidamo 1,99.285,36.715,3100,1.4025,-12.1,13.2,798.5,1695.6,284.13,0.46,0.428,4
53,Caidamo 2,98.895,36.735,3150,1.801666667,-11.7,13.8,880.4,1794.6,248.13,0.533,0.359,4
54,Caidamo 3,98.185,36.735,3120,0.81,-11.9,12.4,672.9,1520.3,242.95,0.535,0.357,4
55,Cangumiao,118.235,40.025,208,8.926666667,-7.9,23.1,2574.5,3776.2,690.23,0.201,0.794,4
56,Caotan Lake,86.025,44.415,380,7.414166667,-15.7,26,2865.9,3990.8,182.26,0.718,0.206,1
57,Cengcuo,90.525,28.975,4421,3.218333333,-5.4,10.4,595,1598.9,392.16,0.442,0.47,1
58,Chagannuoer,113.105,42.935,1302,5.0875,-15.6,23.4,2211.2,3251.7,188.13,0.696,0.219,4
59,Chaiwopu,87.805,43.555,1100,6.824166667,-9.1,21.7,2155.1,3251.9,223.01,0.646,0.268,4
60,Changbai Mt 1,127.835,42.505,1270,2.695,-17.2,19.9,1604.8,2577.6,741.91,0.02,1.103,4
61,Changbai Mt 2,127.835,42.505,1270,2.695,-17.2,19.9,1604.8,2577.6,741.91,0.02,1.103,4
62,Changbai Mt 3,127.835,42.505,1270,2.695,-17.2,19.9,1604.8,2577.6,741.91,0.02,1.103,4
63,Changbai Mt 4,127.835,42.505,1270,2.695,-17.2,19.9,1604.8,2577.6,741.91,0.02,1.103,4
64,Changbai Mt 5,127.835,42.505,1270,2.695,-17.2,19.9,1604.8,2577.6,741.91,0.02,1.103,4
65,Changbai Mt 6,127.835,42.505,1270,2.695,-17.2,19.9,1604.8,2577.6,741.91,0.02,1.103,4
66,Changbai_Mt 1,128.135,42.035,1800,-3.156666667,-20.1,12.9,581,1293.8,1006.4,0.022,1.854,4
67,Changbai_Mt 2,128.135,42.035,1800,-3.156666667,-20.1,12.9,581,1293.8,1006.4,0.022,1.854,4
68,Changbai_Mt 3,128.135,42.035,1800,-3.156666667,-20.1,12.9,581,1293.8,1006.4,0.022,1.854,4
69,Changbai_Mt 4,128.135,42.035,1800,-3.156666667,-20.1,12.9,581,1293.8,1006.4,0.022,1.854,4
70,Changxingdao,121.445,39.605,40,10.12083333,-6.1,24,2783.2,4045.6,610.49,0.278,0.678,4
71,Chanling 1-7,124.175,44.755,140,5.530833333,-15.7,23.6,2319.5,3375.3,439.9,0.35,0.558,4
72,Chanling 2,124.175,44.755,140,5.530833333,-15.7,23.6,2319.5,3375.3,439.9,0.35,0.558,4
73,Chaoli,120.105,36.105,10,12.81666667,-1.1,25.6,3269.6,4715.2,635.54,0.273,0.657,4
74,Chaozhou,116.725,23.875,512,18.545,11.3,25.2,4955.9,6780.9,1740.96,0.016,1.609,4
75,Chasuqi,111.105,40.705,1328,6.793333333,-11.1,22.7,2291.2,3398.7,337.89,0.536,0.382,4
76,Chebaling 1,114.265,24.715,423,17.38166667,8,25.5,4533.3,6358.3,1761.41,0.015,1.788,4
77,Chebaling 2,114.265,24.715,330,17.38166667,8,25.5,4533.3,6358.3,1761.41,0.015,1.788,4
78,Chebaling 3,114.265,24.715,364,17.38166667,8,25.5,4533.3,6358.3,1761.41,0.015,1.788,4
79,Chebaling 4,114.265,24.715,333,17.38166667,8,25.5,4533.3,6358.3,1761.41,0.015,1.788,4
80,Chebaling 5,114.265,24.715,390,17.38166667,8,25.5,4533.3,6358.3,1761.41,0.015,1.788,4
81,China 001,113.155,22.935,6,21.98,13.8,28.8,6210,8035,1789.12,0.014,1.605,4
82,China 002,109.705,19.995,10,24.05666667,17.5,28.9,6963.8,8788.8,1653.51,0.084,1.291,4
83,China 003,112.505,24.905,150,19.2725,8.6,28.5,5225.4,7050.4,1567.63,0.014,1.567,6
84,China 004,121.385,24.835,872,14.64833333,5.9,22.3,3537.4,5362.4,1403.8,0.016,1.402,4
85,China 005,100.105,25.685,3290,7.470833333,2.1,12.3,1127.6,2734.1,1091.01,0.119,1.28,4
86,China 006,113.135,23.325,10,21.7525,13.4,28.8,6127.2,7952.2,1828.5,0.014,1.656,4
87,China 007,100.115,25.685,3152,9.546666667,3.8,14.6,1720.8,3492.1,1020.72,0.161,1.124,4
88,China 008,100.105,25.685,3289,7.470833333,2.1,12.3,1127.6,2734.1,1091.01,0.119,1.28,4
89,China 009,100.165,26.155,3321,11.88916667,5.2,17.7,2523,4348,870.91,0.242,0.89,4
90,China 010,109.225,19.705,-1,24.34833333,18,29,7070,8895,1560.74,0.12,1.194,4
91,China 011,121.435,24.795,1200,11.26,2.7,18.7,2416.5,4125.1,1583.4,0.017,1.718,4
92,China 012,100.165,26.465,2324,12.97083333,6,19.1,2918.2,4743.2,832.82,0.268,0.833,4
93,China 013,108.815,18.745,800,20.90583333,16.7,24,5811.2,7636.2,1627.97,0.138,1.267,4
94,China 014,121.385,24.835,878,14.64833333,5.9,22.3,3537.4,5362.4,1403.8,0.016,1.402,4
95,China 015,109.945,18.855,800,23.21166667,17.8,26.9,6653.2,8478.2,1950.3,0.09,1.512,4
96,China 016,100.175,26.995,3305,6.96,1,12.6,1092.1,2548.9,890.21,0.17,1.068,4
97,China 017,100.175,26.955,3054,8.143333333,2,13.8,1383.4,2980.9,885.72,0.19,1.024,4
98,China 018,100.675,21.835,560,16.58166667,11.6,20.1,4232.4,6057.4,1597.14,0.143,1.489,4
99,China 019,111.425,23.375,220,20.70333333,11.6,28.1,5744.5,7569.5,1534.3,0.014,1.42,4
100,China 020,100.105,25.685,3288,7.470833333,2.1,12.3,1127.6,2734.1,1091.01,0.119,1.28,4
101,China 021,121.435,24.795,1175,11.26,2.7,18.7,2416.5,4125.1,1583.4,0.017,1.718,4
102,China 022,121.375,24.835,580,14.45333333,5.7,22.1,3466.2,5291.2,1414.22,0.016,1.419,4
103,China 023,121.385,24.835,850,14.64833333,5.9,22.3,3537.4,5362.4,1403.8,0.016,1.402,4
104,China 024,108.805,18.705,500,24.7275,19.8,28.3,7206.6,9031.6,1339.28,0.194,0.972,6
105,China 025,121.435,24.795,1195,11.26,2.7,18.7,2416.5,4125.1,1583.4,0.017,1.718,4
106,China 026,110.145,25.535,300,17.35833333,7.1,26.4,4526.5,6351.5,1678.89,0.014,1.784,6
107,China 027,114.335,22.385,-15,22.07083333,14.9,27.9,6241.7,8066.7,1921.11,0.016,1.622,4
108,China 028,109.495,18.205,-1,25.79666667,21.7,28.8,7595.4,9420.4,1461.11,0.208,1.032,4
