taxon_name,eco_group,family_level
*Concentration,CHAR,delete
*sum,HERB,delete
"4-5 colporat 20 mkm, psilat, schmetterlingsporen",NOPO,delete
A. tubuliflorae,HERB,NA
ABIES,TRSH,delete
ACACIA,TRSH,Fabaceae
ACER,TRSH,Sapindaceae
AESCULUS,TRSH,Sapindaceae
AGE [ka BP] (Age),NA,delete
AILANTHUS,TRSH,Simaroubaceae
ALCHEMILLA,HERB,Rosaceae
ALNUS,TRSH,Betulaceae
ALNUS  incana,TRSH,Betulaceae
ALNUS indiff.,TRSH,Betulaceae
ALNUS viridis,TRSH,Betulaceae
AMBROSIA type,HERB,Asteraceae
APIACEAE,HERB,Apiaceae
ARBUTUS,TRSH,Ericaceae
ARTEMISIA,HERB,Asteraceae
ASPLENIUM,VACR,delete
ASTERACEAE aster.,HERB,Asteraceae
ASTERACEAE cichor.,HERB,Asteraceae
ASTERACEAE lig.,HERB,Asteraceae
ASTERACEAE tub.,HERB,Asteraceae
ASTEROIDEAE,HERB,Asteraceae
Abies,TRSH,delete
Abies (Abies),NA,delete
Abies alba,TRSH,delete
Abies cilicica,TRSH,delete
Abies marocana,TRSH,delete
Abies maroccana,TRSH,delete
Abies nordmanniana,TRSH,delete
Abies or Picea,TRSH,delete
Abies pinsapo,TRSH,delete
Abies sibirica,TRSH,delete
Abies: stomata,MACR,delete
Acacia,TRSH,Fabaceae
Acanthaceae,NA,Acanthaceae
Acantholimon,HERB,Plumbaginaceae
Acanthus,HERB,Acanthaceae
Acanthus mollis,HERB,Acanthaceae
Acer,TRSH,Sapindaceae
Acer (Acer),TRSH,Sapindaceae
Acer campestre,TRSH,Sapindaceae
Acer campestre type,TRSH,Sapindaceae
Acer campestre type clumps,TRSH,Sapindaceae
Acer campestre type clumps of two,TRSH,Sapindaceae
Acer campestre-type,TRSH,Sapindaceae
Acer pseudoplatanus,TRSH,Sapindaceae
Acer turkestanica,TRSH,Sapindaceae
Acer-type,TRSH,Sapindaceae
Achillea,HERB,Asteraceae
Achillea /Eupatorium tp.,HERB,Asteraceae
Achillea T,HERB,Asteraceae
Achillea type,HERB,Asteraceae
Achillea-type,HERB,Asteraceae
Achillea/Aster,HERB,Asteraceae
Achillea/Aster-type,HERB,Asteraceae
Achillia,HERB,Asteraceae
Aconitum,HERB,Ranunculaceae
Aconitum T,HERB,Ranunculaceae
Aconitum septentrionale,HERB,Ranunculaceae
Aconitum-group,HERB,Ranunculaceae
Aconitum-type,HERB,Ranunculaceae
Aconogonon,HERB,Polygonaceae
Aconogonon (Aconogonon),NA,Polygonaceae
Acritarchs,ACRI,delete
Actinidia,NA,Actinidiaceae
Actinostemma-Gynostemma,HERB,Cucurbitaceae
Added exote (grains/ml),NOPO,delete
Adenostyles-type,HERB,Asteraceae
Adianthum,INUN,delete
Adiantum,VACR,delete
Adiantum-type,NA,delete
Adiantum-type (Adiantum-T),NA,delete
Adonis,HERB,Ranunculaceae
Adonis aestivalis,HERB,Ranunculaceae
Adonis aestivalis-type,HERB,Ranunculaceae
Adonis annua-type,HERB,Ranunculaceae
Adonis vernalis,HERB,Ranunculaceae
Adonis-type,INUN,Ranunculaceae
Adoxa,HERB,Adoxaceae
Adoxa moschatellina,HERB,Adoxaceae
Adoxaceae,HERB,Adoxaceae
Aegopodium,HERB,Apiaceae
Aegopodium podagraria,HERB,Apiaceae
Aegopodium type,UPHE,Apiaceae
Aellenia-type,HERB,Amaranthaceae
Aerva-type,NA,Amaranthaceae
Aesculus,TRSH,Sapindaceae
Aesculus hippocastaneum,TRSH,Sapindaceae
Aesculus hippocastanum,TRSH,Sapindaceae
Aethusa cynapium-type,HERB,Apiaceae
Agrimonia,HERB,Rosaceae
Agrimonia-type,HERB,Rosaceae
Agrostemma,HERB,Caryophyllaceae
Agrostemma githago,HERB,Caryophyllaceae
Ailanthus,TRSH,Simaroubaceae
Ailanthus altissima,TRSH,Simaroubaceae
Aizoaceae,NA,Aizoaceae
Ajuga type,HERB,Lamiaceae
Alangium,NA,Cornaceae
Alchemilla,HERB,Rosaceae
Alchemilla G,HERB,Rosaceae
Alchemilla pentaphylla-type,HERB,Rosaceae
Alchemilla pentaphyllea,HERB,Rosaceae
Alchemilla-type,HERB,Rosaceae
Alchornea,NA,Euphorbiaceae
Algae,ALGA,delete
Alis._pl-go,AQUA,delete
Alisma,AQUA,delete
Alisma plantago-aquatica,AQUA,delete
Alisma spp.,NA,delete
Alisma t.,AQUA,delete
Alisma-type,AQUA,delete
Alismataceae,AQUA,delete
Alkanna,HERB,Boraginaceae
Alkanna-type,HERB,Boraginaceae
Alliaceae,HERB,Amaryllidaceae
Allium,HERB,Amaryllidaceae
Allium type,HERB,Amaryllidaceae
Allium ursinum T,HERB,Amaryllidaceae
Allium ursinum type,HERB,Amaryllidaceae
Allium ursinum-type,HERB,Amaryllidaceae
Allium-type,HERB,Amaryllidaceae
Allium-type (Allium-T),NA,Amaryllidaceae
Alnaster,TRSH,Betulaceae
"Alnaster (Alnus shrub-type: Alnaster fruticosus, Alnus fruticosa, Alnus maximowiczii)",TRSH,Betulaceae
Alnus,TRSH,Betulaceae
Alnus cf. A. incana,TRSH,Betulaceae
Alnus fruticosa,TRSH,Betulaceae
Alnus fruticosa-type,TRSH,Betulaceae
Alnus glutinosa,TRSH,Betulaceae
Alnus glutinosa T,TRSH,Betulaceae
Alnus glutinosa-type,TRSH,Betulaceae
Alnus glutinosa/A. incana,TRSH,Betulaceae
Alnus incana,TRSH,Betulaceae
Alnus incana subsp. hirsuta,TRSH,Betulaceae
Alnus incana/A. glutinosa,TRSH,Betulaceae
Alnus incana/cordata-type,TRSH,Betulaceae
Alnus non-viridis,TRSH,Betulaceae
Alnus spp.,NA,Betulaceae
Alnus undiff.,TRSH,Betulaceae
