taxon_name,eco_group
*Concentration,CHAR
*sum,HERB
"4-5 colporat 20 mkm, psilat, schmetterlingsporen",NOPO
ABIES,TRSH
Abies,TRSH
Abies alba,TRSH
Abies cilicica,TRSH
Abies nordmanniana,TRSH
Caryo. Trizoncolpate indet.,TRSH
Melia,TRSH
Abies marocana,TRSH
Abies maroccana,TRSH
Abies pinsapo,TRSH
Abies sibirica,TRSH
Abies: stomata,MACR
ACACIA,TRSH
Acacia,TRSH
Acanthus,HERB
Acanthus mollis,HERB
Podosoma,INVE
ACER,TRSH
Acer,TRSH
Acer campestre,TRSH
Acer campestre type,TRSH
Acer campestre type clumps,TRSH
Acer campestre type clumps of two,TRSH
Acer campestre-type,TRSH
Acer pseudoplatanus,TRSH
Acer turkestanica,TRSH
Acer-type,TRSH
Aconitum,HERB
Aconitum T,HERB
Aconitum septentrionale,HERB
Aconitum-group,HERB
Aconitum-type,HERB
Acritarchs,ACRI
Cimicifuga,HERB
Cimicifuga foetida,HERB
Kiwi,TRSH
Added exote (grains/ml),NOPO
Adiantum,VACR
Adonis,HERB
Adonis-type,INUN
Adonis aestivalis,HERB
Adonis aestivalis-type,HERB
Adonis annua-type,HERB
Adonis vernalis,HERB
Adoxa,HERB
Adoxa moschatellina,HERB
Adoxaceae,HERB
Aegopodium,HERB
Aegopodium podagraria,HERB
Aegopodium type,UPHE
Aellenia-type,HERB
AESCULUS,TRSH
Aesculus,TRSH
Aesculus hippocastaneum,TRSH
Aesculus hippocastanum,TRSH
Aethusa cynapium-type,HERB
Agrimonia,HERB
Agrimonia-type,HERB
Agrostemma,HERB
Agrostemma githago,HERB
AILANTHUS,TRSH
Ailanthus,TRSH
Ailanthus altissima,TRSH
ALCHEMILLA,HERB
Alchemilla,HERB
Alchemilla pentaphylla-type,HERB
Alchemilla pentaphyllea,HERB
Alchemilla G,HERB
Alchemilla-type,HERB
Aphanes-type,HERB
Algae,ALGA
Pediastrum boryanum var. longicorne,ALGA
Alis._pl-go,AQUA
Alisma,AQUA
Alisma plantago-aquatica,AQUA
