taxon_name,abbrev
Event label (Event),Event
Latitude of event (Latitude),Latitude
Longitude of event (Longitude),Longitude
Elevation of event [m] (Elevation),Elevation
"DEPTH, sediment/rock [m] (Depth)",Depth
Alnus glutinosa,Aln.g
Betula sect. Albae,Bet.Se.A
Carpinus,Car
Juglans,Jug
Larix,Lar
Picea,Pic
Pinus diploxylon-type,Pin.d-T
Pinaceae,Pinae
Betula sect. Nanae,Bet.Se.N
Alnus fruticosa,Aln.f
Pinus haploxylon-type,Pin.h-T
Salix,Sal
Cyperaceae,Cypae
Poaceae,Poac
Artemisia,Art
Asteraceae,Astae
Asteraceae matricaria-type,A. matricaria-T
Asteraceae saussurea-type,A. saussurea-T
Asteraceae senecio-type,A. senecio-T
Cichorioideae,Cicoid
Brassicaceae,Braae
Caryophyllaceae,Cphae
Caryophyllaceae stellaria holostea-type,C. stellaria holostea-T
Chenopodiaceae,Cheae
Epilobium,Epl
Ericaceae,Eriae
Ericaceae empetrum-type,E. empetrum-T
Ericaceae vaccinium-type,E. vaccinium-T
Fabaceae,Fabae
Fumariaceae,Fumae
Gentianaceae,Genae
Gerianiaceae,Gerianiaceae
Pollen indeterminata,Pollen indet
Lamiaceae,Lamae
Liliaceae,Lilae
Linaceae,Lineae
Malvaceae,Malvae
Papaveraceae,Papae
Plantago,Pla
Plumbaginaceae,Pluae
Polygonaceae,Polae
Polygonum bistorta-type,Pol.b-T
Polygonum viviparum-type,Pol.v-T
Primulaceae,Priae
Ranunculaceae,Ranae
Ranunculaceae pulsatilla,R. pulsatilla
Ranunculaceae thalictrum,R. thalictrum
Rosaceae,Rosae
Rosaceae Dryas,Rosaceae Dryas
Rosaceae rosa canina,R. rosa canina
Rumex,Rum
Sanguisorba officinalis-type,San.o-T
Saxifragaceae,Saxae
Scabiosa,Sca
Scrophulariaceae,Scoae
Valeriana,Val
Potamogeton,Pot
Botryococcus,Bot
Pediastrum,Pdi
Botrychium,Bot
Dryopteris filix-mas,Drp.f-m
Equisetum,Equ
Lycopodium annotinum,Lyc.a
Polypodiaceae,Pocae
Riccia,Ric
Selaginella rupestris,Sel.r
Sphagnum,Sph
Delitschia,Delitschia
Gelasinospora,Gel
Glomus,Glomus
Microthyrium,Mic
Podospora,Podospora
scalariform perforation plate,scalariform perforation plate
Stomata,Stomat
Tracheids,Tracheids
Spores indeterminata,Spo.indet
"Pollen, terrestrial",Pollen ter
Lycopodium spores counted,Lyc.counted
Pollen per unit sediment mass [#/g] (Pollen/sed),Pollen/sed
"Depth, top/min [m] (Depth top)",Depth top
"Depth, bottom/max [m] (Depth bot)",Depth bot
Analyst (Analyst),Analyst
Sample code/label (Sample label),Sample label
"Depth, composite [mcd] (Depth comp)",Depth comp
AGE [ka BP] (Age),Age
Volume [cm,Volume [cm
"Pollen, total concentration [#/cm","Pollen, total concentration [#/cm"
Ratio (Ratio),Ratio
Pinus subgen. Haploxylon-type,P. s/g Haplo-T
Pinus subgen. Diploxylon-type,P. s/g Diplo-T
Pinus sylvestris-type,Pin.s-T
Pinus undifferentiated,Pinus undiff
Pinaceae undifferentiated,Pinea undiff
Abies,Abi
Cedrus,Ced
Tsuga,Tsu
Podocarpus,Pod
Juniperus-type,Jun-T
Ephedra fragilis-type,Eph.f-T
Ephedra distachya-type,Eph.d-T
Alnus undifferentiated,Aln.ud
Alnus fruticosa-type,Aln.f-T
Betula utilis-type,B. utilis-T
Betula undifferentiated,Bet.ud
Carpinus viminea-type,C. viminea-T
Carpinus undifferentiated,Carp undiff
Corylus,Cor
Quercus,Que
Ulmus,Ulm
Morus,Mor
Myrica,Myr
Acer,Ace
Aesculus,Aes
Castanea-type,Cas-T
Celtis,Cel
Grewia,Grewia
Rutaceae undifferentiated,Rutaceae undiff
Mallotus,Mallotus
Meliaceae,Meliaceae
Clethra-type,Clethra-T
Aerva-type,Aer-T
Carya,Cya
Hippophae,Hpp
Populus,Pop
Myricaria-type,Myc-T
Lonicera,Lon
Rhamnus-type,Rha-T
Ribes alpinum-type,R. alpinum-T
Lycium,Lyi
Buxus,Bux
Berberis,Ber
Nitraria,Nit
Rosaceae undifferentiated,Rosae.ud
Sorbus/Cotoneaster-type,Sorbus/Cotoneaster-T
Prunus-type,Prn-T
Potentilla/Chamaerhodos-type,Potentilla/Chamaer-T
Sibbaldia-type,Sibbaldia-T
Geum/Potentilla-type,Geu/Pot-T
Rosa-type,Ros-T
Spiraea-type,Spi-T
Amaranthus,Amaranthus
Sagina,Sag
Aster/Gnaphalium-type,Ast/Gna-T
Anthemis-type,Ant-T
Saussurea-type,Sau-T
Scorzonera,Sco
Ranunculus-type,Ran-T
Clematis/Anemone-type,Clematis/Anemone-T
Caltha/Isopyrum-type,Caltha/Isopyrum-T
Delphinium-type,Del-T
Thalictrum,Tha
Polygonum,Pol
Knorringia-type,Knorringia-T
Aconogonon,Aconogonon
Bistorta,Bist
Polygonum nepalensis-type,Pol.n-T
Koenigia-type,Koenigia-T
Fagopyrum,Fgy
Caryophyllaceae undifferentiated,Cphae.ud
Silene-type,Sil-T
Spergularia-type,Spg-T
Herniaria-type,Hrn-T
Gentiana pneumonanthe-type,Gen.x-T
Gentianella campestris-type,Gen.c-T
Gentianella tenella-type,Gen.t-T
Swertia-type,Swertia-T
Ophelia-type,Ophelia-T
Lomatogonium,Lom
Saxifraga granulata/hirculus-type,S. granulata/hirculus-T
Saxifraga cernua-type,Sax.c-T
Saxifraga hirsuta/cuneifolia-type,S. hirsuta/cuneifolia-T
Saxifraga stellaris-type,Sax.s-T
Bergenia-type,Bergenia-T
Stachys-type,Sta-T
Mentha/Elsholtzia-type,Mentha/Elsholtzia-T
Prunella/Nepeta-type,Prunella/Nepeta-T
Scrophularia-type,Sco-T
Veronica-type,Ver-T
Pedicularis,Ped
Primula-type,Pri-T
Androsace,And
Glaux,Glx
Apiaceae undifferentiated,Api.ud
Bupleurum-type,Bup-T
Euphorbia,Eup
Papaver-type,Pap-T
Meconopsis,Meconopsis
Papaver argemone-type,Pap.a-T
Glaucium-type,Gla-T
Urticaceae,Urtae
Cannabis-type,Can-T
Astragalus/Oxytropis-type,Astra/Oxy-T
Carex-type,Car-T
Sedum-type,Sed-T
Plantago undifferentiated,Pla.ud
Plantago lanceolata-type,Pla.l-T
Solanum-type,Solanum-T
Geranium,Ger
Biebersteinia,Biebersteinia
Galium-type,Gal-T
Campanula-type,Cam-T
Jasione/Wahlenbergia-type,Jasione/Wahlenbergia-T
Boraginaceae,Borae
Corydalis,Cod
Valeriana clarkei/himalayana-type,V. clarkei/himalayana-T
Allium-type,All-T
Eremurus,Ere
Poaceae undifferentiated,Poac.ud
"Spores, monolete",monolete
"Spores, trilete",trilete spores
Number (No),No
Arboreal pollen,AP
Alnus,Aln
Quercus cf. Q. semecarpifolia,Que.cf.se
Quercus subgen. Cyclobalanopsis,Quercus s/g Cyclobalanopsis
Hamamelis/Parrotiopsis-type,Hamamelis/Parrotiopsis-T
Symplocos,Symplocos
Strobilanthes-type,Strobilanthes-T
Elaeagnus,Ele
Rhamnus,Rha
Sambucus,Sam
Sorbus-type,Sor-T
Cotoneaster-type,Cos-T
Potentilla-type,Pti-T
Sibbaldia,Sibbaldia
Aster-type,Ast-T
Gnaphalium-type,Gna-T
Carduus/Cirsium-type,Car/Cir-T
Anemone/Clematis-type,Anemone/Clematis-T
Polygonum polystachyum-type,P. polystachyum-T
Koenigia islandica/nepalensis-type,K. islandica/nepalensis-T
